[ПЗПІ-24]
*NoSQL	*NoSQL-системи : Лк (24) - *NoSQL(ПЗПІ-22-)-1, Широкопетлєва М. С.: Пз (6) - *NoSQL(ПЗПІ-22-)-1, Широкопетлєва М. С.: Лб (20) - *NoSQL(ПЗПІ-22-)-1, Широкопетлєва М. С.:
АПЗ	Архітектура програмного забезпечення : Лк (16) - ПЗПІ-22-1,2,3,4,5, Лещинський В. О.: Лк (16) - ПЗПІ-22-6,7,8,9,10, Лещинський В. О.: Пз (6) - ПЗПІ-22-1, Лещинський В. О.: Пз (6) - ПЗПІ-22-10, Сокорчук І. П.: Пз (6) - ПЗПІ-22-2, Лещинський В. О.: Пз (6) - ПЗПІ-22-3, Сокорчук І. П.: Пз (6) - ПЗПІ-22-4, Сокорчук І. П.: Пз (6) - ПЗПІ-22-5, Сокорчук І. П.: Пз (6) - ПЗПІ-22-6, Сокорчук І. П.: Пз (6) - ПЗПІ-22-7, Сокорчук І. П.: Пз (6) - ПЗПІ-22-8, Сокорчук І. П.: Пз (6) - ПЗПІ-22-9, Сокорчук І. П.: Лб (20) - ПЗПІ-22-1, Сокорчук І. П.: Лб (20) - ПЗПІ-22-10, Дашенков Д. С.: Лб (20) - ПЗПІ-22-2, Сокорчук І. П.: Лб (20) - ПЗПІ-22-3, Сокорчук І. П.: Лб (20) - ПЗПІ-22-4, Дашенков Д. С.: Лб (20) - ПЗПІ-22-5, Дашенков Д. С.: Лб (20) - ПЗПІ-22-6, Сокорчук І. П.: Лб (20) - ПЗПІ-22-7, Сокорчук І. П.: Лб (20) - ПЗПІ-22-8, Сокорчук І. П.: Лб (20) - ПЗПІ-22-9, Дашенков Д. С.:
*БПІТ	*Безпека праці в ІТ : Лк (18) - *БПІТ(КІУКІ-22-)-1;*БПІТ(АКТАКІТ-22-)-2, Стиценко Т. Є.: Пз (12) - *БПІТ(КІУКІ-22-)-1, Колодинський А. О.:
*ВSAP	*Введення до SAP-технології : Лк (22) - *ВSAP(ПЗПІ-22-)-1;*ВSAP(ПЗПІ-22-)-2, Кириченко І. В.: Пз (4) - *ВSAP(ПЗПІ-22-)-1, Кириченко І. В.: Пз (4) - *ВSAP(ПЗПІ-22-)-2, Кириченко І. В.: Лб (20) - *ВSAP(ПЗПІ-22-)-1, Кириченко І. В.: Лб (20) - *ВSAP(ПЗПІ-22-)-2, Кириченко І. В.:
ВМПтФ	Високорівневі мови програмування та фреймворки : Лк (16) - ПЗПІ-22-1,2,3,4,5, Зибіна К. В.: Лк (16) - ПЗПІ-22-6,7,8,9,10, Зибіна К. В.: Пз (6) - ПЗПІ-22-1, Олійник О. О.: Пз (6) - ПЗПІ-22-10, Олійник О. О.: Пз (6) - ПЗПІ-22-2, Олійник О. О.: Пз (6) - ПЗПІ-22-3, Олійник О. О.: Пз (6) - ПЗПІ-22-4, Олійник О. О.: Пз (6) - ПЗПІ-22-5, Олійник О. О.: Пз (6) - ПЗПІ-22-6, Олійник О. В.: Пз (6) - ПЗПІ-22-7, Олійник О. В.: Пз (6) - ПЗПІ-22-8, Олійник О. О.: Пз (6) - ПЗПІ-22-9, Олійник О. О.: Лб (16) - ПЗПІ-22-1, Олійник О. О.: Лб (16) - ПЗПІ-22-10, Олійник О. О.: Лб (16) - ПЗПІ-22-2, Олійник О. О.: Лб (16) - ПЗПІ-22-3, Олійник О. О.: Лб (16) - ПЗПІ-22-4, Олійник О. О.: Лб (16) - ПЗПІ-22-5, Олійник О. О.: Лб (16) - ПЗПІ-22-6, Олійник О. В.: Лб (16) - ПЗПІ-22-7, Олійник О. В.: Лб (16) - ПЗПІ-22-8, Олійник О. О.: Лб (16) - ПЗПІ-22-9, Олійник О. О.:
*ГПСС	*Гендерні проблеми сучасного суспільства : Лк (18) - *ГПСС(КІУКІ-22-)-1;*ГПСС(ВПВПС-22-)-2;*ГПСС(КСТЗІ-22-)-3, Омельченко В. В.: Пз (12) - *ГПСС(ВПВПС-22-)-2, Омельченко В. В.:
*ДТП	*Демократія: від теорії до практики : Лк (18) - *ДТП(ВПВПС-22-)-2;*ДТП(КУІБ-22-)-3, Бадєєва Л. І.: Пз (12) - *ДТП(ВПВПС-22-)-2, Бадєєва Л. І.:
*ІССп	*Імідж сучасного спеціаліста : Лк (18) - *ІССп(ВПВПС-22-)-5, Митцева О. С.: Пз (12) - *ІССп(ВПВПС-22-)-5, Митцева О. С.:
*ІМпк	*Іноземна мова для професійної комунікації : Пз (30) - *ІМпк(ПЗПІ-22-)-2, Маркіна О. Ю.:
*ІНТ	*Історія науки і техніки : Лк (18) - *ІНТ(ПЗПІ-22-)-1, Покровський А. М.: Пз (12) - *ІНТ(ПЗПІ-22-)-1, Покровський А. М.:
*ІУД	*Історія української державності : Лк (18) - *ІУД(КБІКС-22-)-1;*ІУД(ПЗПІ-22-)-2, Ластовець Н. О.: Пз (12) - *ІУД(ПЗПІ-22-)-2, Ластовець Н. О.:
*Лог	*Логіка : Лк (18) - *Лог(ІТУ-22-)-10;*Лог(ПЗПІ-22-)-11;*Лог(ПЗПІ-22-)-12;*Лог(ПЗПІ-22-)-13;*Лог(ПЗПІ-22-)-14;*Лог(ПЗПІ-22-)-15, Старікова Г. Г.: Пз (12) - *Лог(ІТУ-22-)-10, Старікова Г. Г.: Пз (12) - *Лог(ПЗПІ-22-)-11, Старікова Г. Г.: Пз (12) - *Лог(ПЗПІ-22-)-12, Старікова Г. Г.: Пз (12) - *Лог(ПЗПІ-22-)-13, Старікова Г. Г.: Пз (12) - *Лог(ПЗПІ-22-)-14, Старікова Г. Г.: Пз (12) - *Лог(ПЗПІ-22-)-15, Старікова Г. Г.:
МП ПЗ	Менеджмент проектів ПЗ : Лк (18) - ПЗПІ-22-1,2,3,4,5, Ворочек О. Г.: Лк (18) - ПЗПІ-22-6,7,8,9,10, Голян Н. В.: Лб (20) - ПЗПІ-22-1, Ворочек О. Г.: Лб (20) - ПЗПІ-22-10, Голян Н. В.: Лб (20) - ПЗПІ-22-2, Ворочек О. Г.: Лб (20) - ПЗПІ-22-3, Ворочек О. Г.: Лб (20) - ПЗПІ-22-4, Ворочек О. Г.: Лб (20) - ПЗПІ-22-5, Ворочек О. Г.: Лб (20) - ПЗПІ-22-6, Голян Н. В.: Лб (20) - ПЗПІ-22-7, Голян Н. В.: Лб (20) - ПЗПІ-22-8, Голян Н. В.: Лб (20) - ПЗПІ-22-9, Голян Н. В.:
*МП	*Мережеве програмування на Java : Лк (30) - *МП(ПЗПІ-22-)-1;*МП(ПЗПІ-22-)-2, Мар`Їн С. О.: Пз (8) - *МП(ПЗПІ-22-)-1, Мар`Їн С. О.: Пз (8) - *МП(ПЗПІ-22-)-2, Мар`Їн С. О.: Лб (20) - *МП(ПЗПІ-22-)-1, Мар`Їн С. О.: Лб (20) - *МП(ПЗПІ-22-)-2, Мар`Їн С. О.:
*МОТІ	*Методи оптимізації та теорія ігр : Лк (24) - *МОТІ(ПЗПІ-22-)-1;*МОТІ(ПЗПІ-22-)-2, Мазурова О. О.: Пз (10) - *МОТІ(ПЗПІ-22-)-1, Мазурова О. О.: Пз (10) - *МОТІ(ПЗПІ-22-)-2, Мазурова О. О.: Лб (16) - *МОТІ(ПЗПІ-22-)-1, Матвєєв Д. І.: Лб (16) - *МОТІ(ПЗПІ-22-)-2, Матвєєв Д. І.:
*ОІДт	*Обробка ігрових даних та звітів : Лк (30) - *ОІДт(ПЗПІ-22-)-1;*ОІДт(ПЗПІ-22-)-2, Назаров О. С.: Пз (8) - *ОІДт(ПЗПІ-22-)-1, Матвєєв Д. І.: Пз (8) - *ОІДт(ПЗПІ-22-)-2, Матвєєв Д. І.: Лб (20) - *ОІДт(ПЗПІ-22-)-1, Матвєєв Д. І.: Лб (20) - *ОІДт(ПЗПІ-22-)-2, Матвєєв Д. І.:
